Местное время в Екатеринбурге;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;;;;;;
29.12.2023 02:00;-7,1;717,0;743,2;-1,6;91;Ветер, дующий с северо-северо-запада;3;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Ливень (ливни).;Снег или дождь со снегом.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;4,0;-8,4;;;;;;
28.12.2023 23:00;-6,0;718,6;744,7;-1,1;87;Ветер, дующий с северо-северо-запада;1;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Снег или дождь со снегом.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;600-1000;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";Перистых, перисто-кучевых или перисто-слоистых нет.;4,0;-7,8;;;;;;
28.12.2023 20:00;-5,0;719,7;745,8;-1,2;90;Ветер, дующий с юго-юго-востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег или дождь со снегом.;Облака покрывали более половины неба в течение всего соответствующего периода.;;-3,9;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;4,0;-6,4;;;;;;
28.12.2023 17:00;-4,5;720,9;746,9;-0,7;89;Ветер, дующий с востоко-северо-востока;1;;;90  или более, но не 100%;Снег непрерывный слабый в срок наблюдения. ;Снег или дождь со снегом.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;-6,0;;;;;;
28.12.2023 14:00;-4,1;721,6;747,7;-0,6;86;Ветер, дующий с юго-востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег или дождь со снегом.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;4,0;-6,1;;;;;;
28.12.2023 11:00;-5,2;722,2;748,3;0,4;87;Ветер, дующий с юго-востока;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег или дождь со снегом.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;10,0;-7,0;;;;;;
28.12.2023 08:00;-5,4;721,8;748,0;0,2;87;Ветер, дующий с юго-запада;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег или дождь со снегом.;Облака покрывали более половины неба в течение всего соответствующего периода.;-6,3;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10,0;-7,3;;;;;;
28.12.2023 05:00;-5,8;721,6;747,8;0,7;87;Ветер, дующий с юго-юго-запада;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег или дождь со снегом.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10,0;-7,7;;;;;;
28.12.2023 02:00;-6,3;720,9;747,1;0,8;91;Ветер, дующий с запада;1;;;100%.;Снег непрерывный умеренный в срок наблюдения. ;Снег или дождь со снегом.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;4,0;-7,6;;;;;;
27.12.2023 23:00;-5,4;720,1;746,3;0,2;87;Ветер, дующий с западо-юго-запада;3;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег или дождь со снегом.;Песчаная или пыльная буря или снежная низовая метель.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;4,0;-7,3;;;;;;
27.12.2023 20:00;-5,6;719,9;746,1;0,3;91;Ветер, дующий с юго-запада;3;;;100%.;Снег непрерывный умеренный в срок наблюдения. ;Снег или дождь со снегом.;Песчаная или пыльная буря или снежная низовая метель.;;-4,7;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;2,0;-6,9;;;;;;
27.12.2023 17:00;-5,3;719,6;745,7;1,0;83;Ветер, дующий с запада;3;;;100%.;Снег с перерывами слабый в срок наблюдения. ;Снег или дождь со снегом.;Песчаная или пыльная буря или снежная низовая метель.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;10,0;-7,7;;;;;;
27.12.2023 14:00;-4,8;718,6;744,7;0,6;82;Ветер, дующий с запада;3;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Снег или дождь со снегом.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-7,5;;;;;;
27.12.2023 11:00;-5,4;718,0;744,1;0,8;91;Ветер, дующий с западо-юго-запада;3;;;90  или более, но не 100%;Снег непрерывный слабый в срок наблюдения. ;Снег или дождь со снегом.;Песчаная или пыльная буря или снежная низовая метель.;-5,6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-6,7;;;;;;
27.12.2023 08:00;-5,5;717,2;743,3;0,8;92;Ветер, дующий с западо-юго-запада;3;;10;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег или дождь со снегом.;Песчаная или пыльная буря или снежная низовая метель.;-5,5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;4,0;-6,6;;;;;;
27.12.2023 05:00;-5,3;716,4;742,4;1,1;91;Ветер, дующий с запада;4;;;100%.;Снег непрерывный умеренный в срок наблюдения.  Диаметр отложения при гололеде составляет 3 мм.;Снег или дождь со снегом.;Песчаная или пыльная буря или снежная низовая метель.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;2,0;-6,5;;;;;;
27.12.2023 02:00;-5,3;715,3;741,3;1,5;93;Ветер, дующий с запада;4;;12;100%.;Снег непрерывный умеренный в срок наблюдения. ;Снег или дождь со снегом.;Песчаная или пыльная буря или снежная низовая метель.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;2,0;-6,3;;;;;;
26.12.2023 23:00;-5,1;713,8;739,7;1,4;92;Ветер, дующий с запада;5;12;15;100%.;Снег непрерывный умеренный в срок наблюдения.  Диаметр отложения при гололеде составляет 3 мм.;Снег или дождь со снегом.;Песчаная или пыльная буря или снежная низовая метель.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;2,0;-6,2;;;;;;
26.12.2023 20:00;-5,0;712,4;738,3;1,3;92;Ветер, дующий с запада;5;;14;100%.;Снег непрерывный сильный в срок наблюдения. ;Снег или дождь со снегом.;Песчаная или пыльная буря или снежная низовая метель.;;-4,1;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;0,5;-6,1;;;;;;
26.12.2023 17:00;-4,7;711,1;736,9;0,2;93;Ветер, дующий с западо-северо-запада;5;;12;100%.;Снег непрерывный сильный в срок наблюдения.  Диаметр отложения при гололеде составляет 3 мм.;Снег или дождь со снегом.;Песчаная или пыльная буря или снежная низовая метель.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;0,5;-5,7;;;;;;
26.12.2023 14:00;-4,7;710,9;736,7;-1,3;94;Ветер, дующий с западо-северо-запада;4;;;100%.;Снег непрерывный сильный в срок наблюдения. ;Снег или дождь со снегом.;Песчаная или пыльная буря или снежная низовая метель.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;0,5;-5,6;;;;;;
